"dataset_name","technique","most_important_attribute"
"mfeat-pixel","C5.0","att113"
"mfeat-pixel","ctree","att153"
"mfeat-pixel","fda","att57"
"mfeat-pixel","gbm","att113"
"mfeat-pixel","gcvEarth","att57"
"mfeat-pixel","JRip","att168"
"mfeat-pixel","lvq","att1"
"mfeat-pixel","mlpML","att60"
"mfeat-pixel","multinom","att1"
"mfeat-pixel","naive_bayes","att123"
"mfeat-pixel","PART","att153"
"mfeat-pixel","rbfDDA","att220"
"mfeat-pixel","rda","att15"
"mfeat-pixel","rf","att1"
"mfeat-pixel","rpart","att153"
"mfeat-pixel","simpls","att182"
"mfeat-pixel","svmLinear","att1"
"mfeat-pixel","svmRadial","att96"
"mfeat-pixel","rfRules","att153"
"mfeat-pixel","knn","att112"
"mfeat-pixel","bayesglm","att113"
"monks-problems-2","C5.0","attr6"
"monks-problems-2","ctree","attr3"
"monks-problems-2","fda","attr1"
"monks-problems-2","gbm","attr3"
"monks-problems-2","gcvEarth","attr1"
"monks-problems-2","JRip","attr6"
"monks-problems-2","lvq","attr6"
"monks-problems-2","mlpML","attr3"
"monks-problems-2","multinom","attr5"
"monks-problems-2","naive_bayes","attr1"
"monks-problems-2","PART","attr3"
"monks-problems-2","rbfDDA","attr3"
"monks-problems-2","rda","attr3"
"monks-problems-2","rf","attr6"
"monks-problems-2","rpart","attr6"
"monks-problems-2","simpls","attr1"
"monks-problems-2","svmLinear","attr1"
"monks-problems-2","svmRadial","attr3"
"monks-problems-2","rfRules","attr3"
"monks-problems-2","knn","attr3"
"monks-problems-2","bayesglm","attr2"
"steel-plates-fault","C5.0","V33"
"steel-plates-fault","ctree","V33"
"steel-plates-fault","fda","V33"
"steel-plates-fault","gbm","V33"
"steel-plates-fault","gcvEarth","V33"
"steel-plates-fault","JRip","V33"
"steel-plates-fault","lvq","V33"
"steel-plates-fault","mlpML","V33"
"steel-plates-fault","multinom","V33"
"steel-plates-fault","naive_bayes","V24"
"steel-plates-fault","PART","V33"
"steel-plates-fault","rbfDDA","V33"
"steel-plates-fault","rda","V33"
"steel-plates-fault","rf","V33"
"steel-plates-fault","rpart","V33"
"steel-plates-fault","simpls","V33"
"steel-plates-fault","svmLinear","V33"
"steel-plates-fault","svmRadial","V33"
"steel-plates-fault","rfRules","V33"
"steel-plates-fault","knn","V33"
"steel-plates-fault","bayesglm","V33"
"vehicle","C5.0","ELONGATEDNESS"
"vehicle","ctree","ELONGATEDNESS"
"vehicle","fda","SCATTER_RATIO"
"vehicle","gbm","MAX.LENGTH_RECTANGULARITY"
"vehicle","gcvEarth","SCALED_VARIANCE_MINOR"
"vehicle","JRip","SCALED_VARIANCE_MAJOR"
"vehicle","lvq","COMPACTNESS"
"vehicle","mlpML","RADIUS_RATIO"
"vehicle","multinom","SCATTER_RATIO"
"vehicle","naive_bayes","MAX.LENGTH_ASPECT_RATIO"
"vehicle","PART","MAX.LENGTH_ASPECT_RATIO"
"vehicle","rbfDDA","MAX.LENGTH_RECTANGULARITY"
"vehicle","rda","SCALED_VARIANCE_MINOR"
"vehicle","rf","MAX.LENGTH_ASPECT_RATIO"
"vehicle","rpart","ELONGATEDNESS"
"vehicle","simpls","ELONGATEDNESS"
"vehicle","svmLinear","RADIUS_RATIO"
"vehicle","svmRadial","COMPACTNESS"
"vehicle","rfRules","MAX.LENGTH_ASPECT_RATIO"
"vehicle","knn","MAX.LENGTH_RECTANGULARITY"
"vehicle","bayesglm","RADIUS_RATIO"
"wall-robot-navigation","C5.0","V15"
"wall-robot-navigation","ctree","V15"
"wall-robot-navigation","fda","V15"
"wall-robot-navigation","gbm","V15"
"wall-robot-navigation","gcvEarth","V15"
"wall-robot-navigation","JRip","V15"
"wall-robot-navigation","lvq","V15"
"wall-robot-navigation","mlpML","V15"
"wall-robot-navigation","multinom","V15"
"wall-robot-navigation","naive_bayes","V15"
"wall-robot-navigation","PART","V15"
"wall-robot-navigation","rbfDDA","V15"
"wall-robot-navigation","rda","V15"
"wall-robot-navigation","rf","V15"
"wall-robot-navigation","rpart","V15"
"wall-robot-navigation","simpls","V15"
"wall-robot-navigation","svmLinear","V15"
"wall-robot-navigation","svmRadial","V15"
"wall-robot-navigation","rfRules","V15"
"wall-robot-navigation","knn","V15"
"wall-robot-navigation","bayesglm","V15"
